"file","status","detik","needsConfirm","flags","serving","per_pack","energi_kcal","gula_g","natrium_mg","lemak_g","jenuh_g","bahan"
"1.jpeg","ok","6.3","True","energy_kcal","42g","16","60","0","310","1.5","0","ada"
"10.jpeg","not_a_label","14.8","","","",,,,,,,"-"
"11.jpeg","not_a_label","4.3","","","",,,,,,,"-"
"12.jpeg","ok","2.6","True","sodium_mg|net_content|trans_fat_g|fiber_g|ingredients_raw","250ml","6","100","27","15","0","0","-"
"13.jpeg","not_a_label","5.3","","","",,,,,,,"-"
"14.jpeg","not_a_label","4.9","","","",,,,,,,"-"
"15.jpeg","not_a_label","4.6","","","",,,,,,,"-"
"16.png","not_a_label","4.5","","","",,,,,,,"-"
"2.png","not_a_label","6.9","","","",,,,,,,"-"
"3.jpeg","not_a_label","5.3","","","",,,,,,,"-"
"4.png","ok","4.8","True","sodium_mg","31g","10","70","1","15","0.5","0","-"
"5.jpeg","not_a_label","4.8","","","",,,,,,,"-"
"6.jpeg","not_a_label","4.2","","","",,,,,,,"-"
"7.jpeg","not_a_label","6.4","","","",,,,,,,"-"
"8.jpeg","not_a_label","4.5","","","",,,,,,,"-"
"9.jpeg","not_a_label","4.6","","","",,,,,,,"-"
"FDA label.png","ok","4.5","False","","55g","8","230","12","160","8","1","-"
